2018-04-20 09:21:29,673 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '丰田', '车辆数:', 0, '耗时:', 3.9300034046173096, '秒')] - [renrenche.py:416]
2018-04-20 09:21:30,677 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '福迪', '车辆数:', 0, '耗时:', 0.9346153736114502, '秒')] - [renrenche.py:416]
2018-04-20 09:21:31,689 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '福汽启腾', '车辆数:', 0, '耗时:', 0.9865140914916992, '秒')] - [renrenche.py:416]
2018-04-20 09:21:39,406 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '福特', '车辆数:', 0, '耗时:', 7.313328266143799, '秒')] - [renrenche.py:416]
2018-04-20 09:21:40,219 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '福田', '车辆数:', 0, '耗时:', 0.7864668369293213, '秒')] - [renrenche.py:416]
2018-04-20 09:21:41,343 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '广汽传祺', '车辆数:', 0, '耗时:', 1.0801894664764404, '秒')] - [renrenche.py:416]
2018-04-20 09:21:42,279 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '广汽吉奥', '车辆数:', 0, '耗时:', 0.9094667434692383, '秒')] - [renrenche.py:416]
2018-04-20 09:21:43,215 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '观致', '车辆数:', 0, '耗时:', 0.910036563873291, '秒')] - [renrenche.py:416]
2018-04-20 09:21:44,103 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '哈飞', '车辆数:', 0, '耗时:', 0.8531744480133057, '秒')] - [renrenche.py:416]
2018-04-20 09:21:48,087 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '哈弗', '车辆数:', 0, '耗时:', 3.8053297996520996, '秒')] - [renrenche.py:416]
2018-04-20 09:21:48,935 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '海格', '车辆数:', 0, '耗时:', 0.8185536861419678, '秒')] - [renrenche.py:416]
2018-04-20 09:21:50,030 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '海马', '车辆数:', 0, '耗时:', 1.0452337265014648, '秒')] - [renrenche.py:416]
2018-04-20 09:21:50,841 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '悍马', '车辆数:', 0, '耗时:', 0.7690691947937012, '秒')] - [renrenche.py:416]
2018-04-20 09:21:51,787 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '汉腾汽车', '车辆数:', 0, '耗时:', 0.9208953380584717, '秒')] - [renrenche.py:416]
2018-04-20 09:21:52,746 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '红旗', '车辆数:', 0, '耗时:', 0.9338605403900146, '秒')] - [renrenche.py:416]
2018-04-20 09:21:53,642 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '黄海', '车辆数:', 0, '耗时:', 0.8639662265777588, '秒')] - [renrenche.py:416]
2018-04-20 09:21:54,653 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '华普', '车辆数:', 0, '耗时:', 0.98675537109375, '秒')] - [renrenche.py:416]
2018-04-20 09:21:55,703 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '华泰', '车辆数:', 0, '耗时:', 1.0093390941619873, '秒')] - [renrenche.py:416]
2018-04-20 09:21:56,667 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', 'Jeep', '车辆数:', 0, '耗时:', 0.9300448894500732, '秒')] - [renrenche.py:416]
2018-04-20 09:21:59,652 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '江淮', '车辆数:', 0, '耗时:', 2.8414885997772217, '秒')] - [renrenche.py:416]
2018-04-20 09:22:00,685 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '江铃', '车辆数:', 0, '耗时:', 1.0089948177337646, '秒')] - [renrenche.py:416]
2018-04-20 09:22:01,969 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '捷豹', '车辆数:', 0, '耗时:', 1.1881062984466553, '秒')] - [renrenche.py:416]
2018-04-20 09:22:06,457 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '吉利汽车', '车辆数:', 0, '耗时:', 4.253105878829956, '秒')] - [renrenche.py:416]
2018-04-20 09:22:07,463 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '金杯', '车辆数:', 0, '耗时:', 0.9428994655609131, '秒')] - [renrenche.py:416]
2018-04-20 09:22:08,252 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '金龙', '车辆数:', 0, '耗时:', 0.7530038356781006, '秒')] - [renrenche.py:416]
2018-04-20 09:22:09,124 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '金旅', '车辆数:', 0, '耗时:', 0.8401598930358887, '秒')] - [renrenche.py:416]
2018-04-20 09:22:09,924 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '九龙', '车辆数:', 0, '耗时:', 0.7814786434173584, '秒')] - [renrenche.py:416]
2018-04-20 09:22:10,991 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '凯迪拉克', '车辆数:', 0, '耗时:', 1.0291533470153809, '秒')] - [renrenche.py:416]
2018-04-20 09:22:11,961 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '开瑞', '车辆数:', 0, '耗时:', 0.9441561698913574, '秒')] - [renrenche.py:416]
2018-04-20 09:22:12,775 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '凯翼', '车辆数:', 0, '耗时:', 0.7904770374298096, '秒')] - [renrenche.py:416]
