2018-04-20 09:21:43,011 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '一汽', '车辆数:', 0, '耗时:', 1.815910816192627, '秒')] - [renrenche.py:416]
2018-04-20 09:21:43,747 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '依维柯', '车辆数:', 0, '耗时:', 0.6994531154632568, '秒')] - [renrenche.py:416]
2018-04-20 09:21:44,686 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '中华', '车辆数:', 0, '耗时:', 0.893822431564331, '秒')] - [renrenche.py:416]
2018-04-20 09:21:45,685 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '众泰', '车辆数:', 0, '耗时:', 0.9237871170043945, '秒')] - [renrenche.py:416]
2018-04-20 09:21:45,686 - rrc-process[1] - INFO - [('城市', '哈尔滨', '共有', 0, '辆二手车,', '总共耗时', 172.94081568717957, '秒')] - [renrenche.py:418]
2018-04-20 09:21:45,686 - rrc-process[1] - INFO - [('城市', '邯郸', '开始')] - [renrenche.py:381]
2018-04-20 09:21:47,636 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '奥迪', '车辆数:', 0, '耗时:', 0.93243408203125, '秒')] - [renrenche.py:416]
2018-04-20 09:21:48,472 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '巴博斯', '车辆数:', 0, '耗时:', 0.8040523529052734, '秒')] - [renrenche.py:416]
2018-04-20 09:21:49,364 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '宝骏', '车辆数:', 0, '耗时:', 0.8496909141540527, '秒')] - [renrenche.py:416]
2018-04-20 09:21:50,166 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '宝马', '车辆数:', 0, '耗时:', 0.7603788375854492, '秒')] - [renrenche.py:416]
2018-04-20 09:21:50,914 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '保时捷', '车辆数:', 0, '耗时:', 0.7095365524291992, '秒')] - [renrenche.py:416]
2018-04-20 09:21:52,018 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '宝沃', '车辆数:', 0, '耗时:', 1.0591416358947754, '秒')] - [renrenche.py:416]
2018-04-20 09:21:52,805 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '北京', '车辆数:', 0, '耗时:', 0.7492868900299072, '秒')] - [renrenche.py:416]
2018-04-20 09:21:53,642 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '北汽幻速', '车辆数:', 0, '耗时:', 0.7838156223297119, '秒')] - [renrenche.py:416]
2018-04-20 09:21:54,472 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '北汽绅宝', '车辆数:', 0, '耗时:', 0.7937953472137451, '秒')] - [renrenche.py:416]
2018-04-20 09:21:55,285 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '北汽威旺', '车辆数:', 0, '耗时:', 0.7782363891601562, '秒')] - [renrenche.py:416]
2018-04-20 09:21:56,146 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '北汽制造', '车辆数:', 0, '耗时:', 0.831585168838501, '秒')] - [renrenche.py:416]
2018-04-20 09:21:57,202 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '奔驰', '车辆数:', 0, '耗时:', 1.0113179683685303, '秒')] - [renrenche.py:416]
2018-04-20 09:21:58,123 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '奔腾', '车辆数:', 0, '耗时:', 0.8610594272613525, '秒')] - [renrenche.py:416]
2018-04-20 09:22:00,050 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '本田', '车辆数:', 0, '耗时:', 1.8071348667144775, '秒')] - [renrenche.py:416]
2018-04-20 09:22:01,094 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '标致', '车辆数:', 0, '耗时:', 1.0043189525604248, '秒')] - [renrenche.py:416]
2018-04-20 09:22:02,262 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '别克', '车辆数:', 0, '耗时:', 1.122178316116333, '秒')] - [renrenche.py:416]
2018-04-20 09:22:04,259 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '比亚迪', '车辆数:', 0, '耗时:', 1.9140186309814453, '秒')] - [renrenche.py:416]
2018-04-20 09:22:05,330 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '长安', '车辆数:', 0, '耗时:', 1.0227034091949463, '秒')] - [renrenche.py:416]
2018-04-20 09:22:06,422 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '长安商用', '车辆数:', 0, '耗时:', 1.042839527130127, '秒')] - [renrenche.py:416]
2018-04-20 09:22:07,471 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '长城', '车辆数:', 0, '耗时:', 0.9712486267089844, '秒')] - [renrenche.py:416]
2018-04-20 09:22:08,368 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '昌河', '车辆数:', 0, '耗时:', 0.866549015045166, '秒')] - [renrenche.py:416]
2018-04-20 09:22:09,197 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', 'DS', '车辆数:', 0, '耗时:', 0.778430700302124, '秒')] - [renrenche.py:416]
2018-04-20 09:22:10,043 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '道奇', '车辆数:', 0, '耗时:', 0.8134667873382568, '秒')] - [renrenche.py:416]
2018-04-20 09:22:16,456 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '大众', '车辆数:', 0, '耗时:', 6.069674491882324, '秒')] - [renrenche.py:416]
2018-04-20 09:22:18,264 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '东风', '车辆数:', 0, '耗时:', 1.7135722637176514, '秒')] - [renrenche.py:416]
2018-04-20 09:22:19,021 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '东南', '车辆数:', 0, '耗时:', 0.7200958728790283, '秒')] - [renrenche.py:416]
2018-04-20 09:22:19,842 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '法拉利', '车辆数:', 0, '耗时:', 0.7719218730926514, '秒')] - [renrenche.py:416]
2018-04-20 09:22:20,585 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '菲亚特', '车辆数:', 0, '耗时:', 0.6873359680175781, '秒')] - [renrenche.py:416]
2018-04-20 09:22:22,790 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '丰田', '车辆数:', 0, '耗时:', 2.0959160327911377, '秒')] - [renrenche.py:416]
2018-04-20 09:22:25,171 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '福特', '车辆数:', 0, '耗时:', 2.2302868366241455, '秒')] - [renrenche.py:416]
2018-04-20 09:22:26,177 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '福田', '车辆数:', 0, '耗时:', 0.9409594535827637, '秒')] - [renrenche.py:416]
2018-04-20 09:22:27,327 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '广汽传祺', '车辆数:', 0, '耗时:', 1.060729742050171, '秒')] - [renrenche.py:416]
2018-04-20 09:22:28,180 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '广汽吉奥', '车辆数:', 0, '耗时:', 0.8119685649871826, '秒')] - [renrenche.py:416]
2018-04-20 09:22:29,173 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '观致', '车辆数:', 0, '耗时:', 0.9410080909729004, '秒')] - [renrenche.py:416]
2018-04-20 09:22:30,020 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '哈飞', '车辆数:', 0, '耗时:', 0.8100631237030029, '秒')] - [renrenche.py:416]
