2018-04-20 09:20:20,664 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '北京', '车辆数:', 0, '耗时:', 0.9031884670257568, '秒')] - [renrenche.py:416]
2018-04-20 09:20:21,473 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '北汽幻速', '车辆数:', 0, '耗时:', 0.7677168846130371, '秒')] - [renrenche.py:416]
2018-04-20 09:20:22,315 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '北汽绅宝', '车辆数:', 0, '耗时:', 0.7793881893157959, '秒')] - [renrenche.py:416]
2018-04-20 09:20:23,209 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '北汽威旺', '车辆数:', 0, '耗时:', 0.8412559032440186, '秒')] - [renrenche.py:416]
2018-04-20 09:20:24,070 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '北汽制造', '车辆数:', 0, '耗时:', 0.8110401630401611, '秒')] - [renrenche.py:416]
2018-04-20 09:20:24,962 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '奔驰', '车辆数:', 0, '耗时:', 0.823176383972168, '秒')] - [renrenche.py:416]
2018-04-20 09:20:25,996 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '奔腾', '车辆数:', 0, '耗时:', 0.9915916919708252, '秒')] - [renrenche.py:416]
2018-04-20 09:20:27,745 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '本田', '车辆数:', 0, '耗时:', 1.6301195621490479, '秒')] - [renrenche.py:416]
2018-04-20 09:20:28,742 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '标致', '车辆数:', 0, '耗时:', 0.9499468803405762, '秒')] - [renrenche.py:416]
2018-04-20 09:20:30,451 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '别克', '车辆数:', 0, '耗时:', 1.6334702968597412, '秒')] - [renrenche.py:416]
2018-04-20 09:20:31,491 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '比亚迪', '车辆数:', 0, '耗时:', 0.9725375175476074, '秒')] - [renrenche.py:416]
2018-04-20 09:20:32,460 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '长安', '车辆数:', 0, '耗时:', 0.8986337184906006, '秒')] - [renrenche.py:416]
2018-04-20 09:20:33,622 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '长安商用', '车辆数:', 0, '耗时:', 1.0992052555084229, '秒')] - [renrenche.py:416]
2018-04-20 09:20:34,557 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '长城', '车辆数:', 0, '耗时:', 0.8924691677093506, '秒')] - [renrenche.py:416]
2018-04-20 09:20:35,412 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '昌河', '车辆数:', 0, '耗时:', 0.8216352462768555, '秒')] - [renrenche.py:416]
2018-04-20 09:20:36,262 - rrc-process[0] - INFO - [('地区及品牌', '安阳', 'DS', '车辆数:', 0, '耗时:', 0.7602019309997559, '秒')] - [renrenche.py:416]
2018-04-20 09:20:37,229 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '道奇', '车辆数:', 0, '耗时:', 0.9165675640106201, '秒')] - [renrenche.py:416]
2018-04-20 09:20:42,050 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '大众', '车辆数:', 0, '耗时:', 4.466209411621094, '秒')] - [renrenche.py:416]
2018-04-20 09:20:43,188 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '东风', '车辆数:', 0, '耗时:', 1.057715654373169, '秒')] - [renrenche.py:416]
2018-04-20 09:20:43,889 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '东南', '车辆数:', 0, '耗时:', 0.6644911766052246, '秒')] - [renrenche.py:416]
2018-04-20 09:20:44,964 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '菲亚特', '车辆数:', 0, '耗时:', 1.0075104236602783, '秒')] - [renrenche.py:416]
2018-04-20 09:20:45,908 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '丰田', '车辆数:', 0, '耗时:', 0.8587000370025635, '秒')] - [renrenche.py:416]
2018-04-20 09:20:48,027 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '福特', '车辆数:', 0, '耗时:', 1.9160051345825195, '秒')] - [renrenche.py:416]
2018-04-20 09:20:48,835 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '福田', '车辆数:', 0, '耗时:', 0.7404334545135498, '秒')] - [renrenche.py:416]
2018-04-20 09:20:49,862 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '广汽传祺', '车辆数:', 0, '耗时:', 0.941241979598999, '秒')] - [renrenche.py:416]
2018-04-20 09:20:50,662 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '广汽吉奥', '车辆数:', 0, '耗时:', 0.7603917121887207, '秒')] - [renrenche.py:416]
2018-04-20 09:20:51,478 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '哈飞', '车辆数:', 0, '耗时:', 0.7824313640594482, '秒')] - [renrenche.py:416]
2018-04-20 09:20:52,400 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '哈弗', '车辆数:', 0, '耗时:', 0.8629899024963379, '秒')] - [renrenche.py:416]
2018-04-20 09:20:53,315 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '海马', '车辆数:', 0, '耗时:', 0.8475134372711182, '秒')] - [renrenche.py:416]
2018-04-20 09:20:54,191 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '红旗', '车辆数:', 0, '耗时:', 0.8245477676391602, '秒')] - [renrenche.py:416]
2018-04-20 09:20:55,047 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '华普', '车辆数:', 0, '耗时:', 0.8234126567840576, '秒')] - [renrenche.py:416]
2018-04-20 09:20:55,920 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '华泰', '车辆数:', 0, '耗时:', 0.837397575378418, '秒')] - [renrenche.py:416]
2018-04-20 09:20:56,740 - rrc-process[0] - INFO - [('地区及品牌', '安阳', 'Jeep', '车辆数:', 0, '耗时:', 0.7811431884765625, '秒')] - [renrenche.py:416]
2018-04-20 09:20:58,139 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '江淮', '车辆数:', 0, '耗时:', 1.323791742324829, '秒')] - [renrenche.py:416]
2018-04-20 09:20:59,154 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '吉利汽车', '车辆数:', 0, '耗时:', 0.9654185771942139, '秒')] - [renrenche.py:416]
2018-04-20 09:21:00,071 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '金杯', '车辆数:', 0, '耗时:', 0.8841722011566162, '秒')] - [renrenche.py:416]
2018-04-20 09:21:00,857 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '金旅', '车辆数:', 0, '耗时:', 0.7470312118530273, '秒')] - [renrenche.py:416]
2018-04-20 09:21:01,795 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '凯迪拉克', '车辆数:', 0, '耗时:', 0.8917250633239746, '秒')] - [renrenche.py:416]
2018-04-20 09:21:02,708 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '开瑞', '车辆数:', 0, '耗时:', 0.8681907653808594, '秒')] - [renrenche.py:416]
2018-04-20 09:21:03,586 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '凯翼', '车辆数:', 0, '耗时:', 0.8442990779876709, '秒')] - [renrenche.py:416]
2018-04-20 09:21:04,404 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '卡威', '车辆数:', 0, '耗时:', 0.7806074619293213, '秒')] - [renrenche.py:416]
2018-04-20 09:21:05,242 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '克莱斯勒', '车辆数:', 0, '耗时:', 0.7988100051879883, '秒')] - [renrenche.py:416]
2018-04-20 09:21:06,137 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '雷克萨斯', '车辆数:', 0, '耗时:', 0.8584699630737305, '秒')] - [renrenche.py:416]
2018-04-20 09:21:07,063 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '雷诺', '车辆数:', 0, '耗时:', 0.8870470523834229, '秒')] - [renrenche.py:416]
2018-04-20 09:21:08,498 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '莲花汽车', '车辆数:', 0, '耗时:', 1.3517353534698486, '秒')] - [renrenche.py:416]
2018-04-20 09:21:09,386 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '猎豹汽车', '车辆数:', 0, '耗时:', 0.8346555233001709, '秒')] - [renrenche.py:416]
2018-04-20 09:21:10,260 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '力帆汽车', '车辆数:', 0, '耗时:', 0.8312351703643799, '秒')] - [renrenche.py:416]
2018-04-20 09:21:11,181 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '铃木', '车辆数:', 0, '耗时:', 0.8724570274353027, '秒')] - [renrenche.py:416]
2018-04-20 09:21:12,302 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '理念', '车辆数:', 0, '耗时:', 1.0228753089904785, '秒')] - [renrenche.py:416]
2018-04-20 09:21:13,284 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '林肯', '车辆数:', 0, '耗时:', 0.9281022548675537, '秒')] - [renrenche.py:416]
2018-04-20 09:21:14,263 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '陆风', '车辆数:', 0, '耗时:', 0.947500467300415, '秒')] - [renrenche.py:416]
2018-04-20 09:21:16,447 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '路虎', '车辆数:', 0, '耗时:', 1.4035780429840088, '秒')] - [renrenche.py:416]
2018-04-20 09:21:17,691 - rrc-process[0] - INFO - [('地区及品牌', '安阳', 'MG', '车辆数:', 0, '耗时:', 1.1699104309082031, '秒')] - [renrenche.py:416]
2018-04-20 09:21:18,353 - rrc-process[0] - INFO - [('地区及品牌', '安阳', 'MINI', '车辆数:', 0, '耗时:', 0.6303327083587646, '秒')] - [renrenche.py:416]
2018-04-20 09:21:19,418 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '马自达', '车辆数:', 0, '耗时:', 0.9651145935058594, '秒')] - [renrenche.py:416]
2018-04-20 09:21:20,490 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '纳智捷', '车辆数:', 0, '耗时:', 1.0116405487060547, '秒')] - [renrenche.py:416]
2018-04-20 09:21:21,489 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '欧宝', '车辆数:', 0, '耗时:', 0.9342095851898193, '秒')] - [renrenche.py:416]
2018-04-20 09:21:22,406 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '讴歌', '车辆数:', 0, '耗时:', 0.8726775646209717, '秒')] - [renrenche.py:416]
2018-04-20 09:21:23,235 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '欧朗', '车辆数:', 0, '耗时:', 0.7866904735565186, '秒')] - [renrenche.py:416]
2018-04-20 09:21:23,992 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '启辰', '车辆数:', 0, '耗时:', 0.7125346660614014, '秒')] - [renrenche.py:416]
